objectID;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
134;20136;5;5;PORTA VIGENTINA - PORTA LODOVICA;9.190615499158977;45.449162626323854;(45.449162626323854, 9.190615499158977)
3398;20141;5;38;VIGENTINO - Q.RE FATIMA;9.197990880571586;45.43080728230747;(45.43080728230747, 9.197990880571586)
4238;20141;5;37;MORIVIONE;9.19454894116683;45.44222933130185;(45.44222933130185, 9.19454894116683)
390;20122;1;5;PORTA VIGENTINA - PORTA LODOVICA;9.194232647647741;45.45377540696881;(45.45377540696881, 9.194232647647741)
29129;20154;9;9;PORTA GARIBALDI - PORTA NUOVA;9.193202667103906;45.48428795124369;(45.48428795124369, 9.193202667103906)
140;20125;2;12;MACIACHINI - MAGGIOLINA;9.197933772987192;45.49580061996733;(45.49580061996733, 9.197933772987192)
3433;20159;9;12;MACIACHINI - MAGGIOLINA;9.195664766898759;45.501540301059194;(45.501540301059194, 9.195664766898759)
120;20141;5;38;VIGENTINO - Q.RE FATIMA;9.204228470805434;45.43060024286873;(45.43060024286873, 9.204228470805434)
419;20121;1;3;GIARDINI P.TA VENEZIA;9.203910510073738;45.47377116046201;(45.47377116046201, 9.203910510073738)
18304;20126;9;15;BICOCCA;9.20502819675287;45.51313688755942;(45.51313688755942, 9.20502819675287)
168;20129;1;4;GUASTALLA;9.206170211335575;45.46781943260748;(45.46781943260748, 9.206170211335575)
355;20124;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.210039620181167;45.48498942005111;(45.48498942005111, 9.210039620181167)
326;20162;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.210132246257759;45.52823376694019;(45.52823376694019, 9.210132246257759)
4235;20135;4;26;XXII MARZO;9.216462882393841;45.459456917085646;(45.459456917085646, 9.216462882393841)
177;20129;4;26;XXII MARZO;9.216663741108063;45.462320669648754;(45.462320669648754, 9.216663741108063)
534;20129;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;9.214879860969441;45.48093834508563;(45.48093834508563, 9.214879860969441)
2166;20127;2;20;LORETO - CASORETTO - NOLO;9.21618841081979;45.493251485564535;(45.493251485564535, 9.21618841081979)
36718;20125;2;13;GRECO - SEGNANO;9.213169122023745;45.5013984817168;(45.5013984817168, 9.213169122023745)
7090;20126;9;15;BICOCCA;9.21476835268415;45.51634998814369;(45.51634998814369, 9.21476835268415)
41604;20141;5;85;PARCO DELLE ABBAZIE;9.220138724377948;45.42716287048423;(45.42716287048423, 9.220138724377948)
5381;20131;2;20;LORETO - CASORETTO - NOLO;9.223977424773128;45.49033687534344;(45.49033687534344, 9.223977424773128)
5383;20137;4;29;ORTOMERCATO;9.227508295878003;45.453179294710445;(45.453179294710445, 9.227508295878003)
411;20133;4;25;CORSICA;9.228201764687002;45.462359601329155;(45.462359601329155, 9.228201764687002)
44160;20133;3;22;CITTA' STUDI;9.225820327852755;45.4682213110485;(45.4682213110485, 9.225820327852755)
41607;20133;4;25;CORSICA;9.229197426539402;45.467991382262106;(45.467991382262106, 9.229197426539402)
42240;20131;3;22;CITTA' STUDI;9.230106915307616;45.482601525937504;(45.482601525937504, 9.230106915307616)
5864;20127;2;19;PADOVA - TURRO - CRESCENZAGO;9.228664373096345;45.49850640970707;(45.49850640970707, 9.228664373096345)
5863;20127;2;19;PADOVA - TURRO - CRESCENZAGO;9.22859447140943;45.498806619970836;(45.498806619970836, 9.22859447140943)
157;20133;4;25;CORSICA;9.233359173013522;45.4679318731726;(45.4679318731726, 9.233359173013522)
18709;20132;3;18;CIMIANO - ROTTOLE - Q.RE FELTRE;9.237713678304472;45.49094940309315;(45.49094940309315, 9.237713678304472)
4169;20128;2;16;GORLA - PRECOTTO;9.232787441127263;45.51450549697337;(45.51450549697337, 9.232787441127263)
36320;20128;2;16;GORLA - PRECOTTO;9.235620744791932;45.515760897327425;(45.515760897327425, 9.235620744791932)
5392;20138;4;33;ROGOREDO - SANTA GIULIA;9.242682308775539;45.438507942401415;(45.438507942401415, 9.242682308775539)
515;20138;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.241386060480014;45.45652695945651;(45.45652695945651, 9.241386060480014)
43840;20134;3;23;LAMBRATE - ORTICA;9.241827349357212;45.477624204148775;(45.477624204148775, 9.241827349357212)
487;20134;3;23;LAMBRATE - ORTICA;9.24123890705142;45.482522409377914;(45.482522409377914, 9.24123890705142)
488;20134;3;23;LAMBRATE - ORTICA;9.242489929423575;45.48220939192391;(45.48220939192391, 9.242489929423575)
344;20138;4;30;TALIEDO - MORSENCHIO - Q.RE FORLANINI;9.250629370698103;45.44585188829866;(45.44585188829866, 9.250629370698103)
3394;20128;2;17;ADRIANO;9.250100272629222;45.512583957024304;(45.512583957024304, 9.250100272629222)
29117;20128;2;17;ADRIANO;9.251664091290609;45.519031770239465;(45.519031770239465, 9.251664091290609)
351;20134;4;24;PARCO FORLANINI - CAVRIANO;9.25855366339242;45.46463407228803;(45.46463407228803, 9.25855366339242)
284;20153;7;87;ASSIANO;9.063593309898062;45.45554534419511;(45.45554534419511, 9.063593309898062)
44800;20152;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.09270420846457;45.45912988551176;(45.45912988551176, 9.09270420846457)
2564;20152;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;9.095650251356165;45.453646644929044;(45.453646644929044, 9.095650251356165)
264;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.097174009564043;45.502834073442635;(45.502834073442635, 9.097174009564043)
5408;20152;6;53;LORENTEGGIO;9.10217128921499;45.45024363016446;(45.45024363016446, 9.10217128921499)
5396;20152;6;53;LORENTEGGIO;9.105586298592755;45.45160702082527;(45.45160702082527, 9.105586298592755)
3414;20153;7;61;QUARTO CAGNINO;9.106527423974967;45.47117143124519;(45.47117143124519, 9.106527423974967)
10290;20153;7;88;PARCO BOSCO IN CITTA';9.101454905326184;45.474847561731124;(45.474847561731124, 9.101454905326184)
58;20151;7;88;PARCO BOSCO IN CITTA';9.105808570566255;45.484281079408326;(45.484281079408326, 9.105808570566255)
8285;20151;8;72;MAGGIORE - MUSOCCO - CERTOSA;9.101844811457044;45.50892087549501;(45.50892087549501, 9.101844811457044)
5838;20156;8;72;MAGGIORE - MUSOCCO - CERTOSA;9.104454019852424;45.511374257964015;(45.511374257964015, 9.104454019852424)
7083;20152;6;53;LORENTEGGIO;9.108836634962154;45.452922127863395;(45.452922127863395, 9.108836634962154)
54;20151;7;88;PARCO BOSCO IN CITTA';9.108580793826508;45.47943436885482;(45.47943436885482, 9.108580793826508)
5401;20147;6;53;LORENTEGGIO;9.123849713712682;45.45075222224657;(45.45075222224657, 9.123849713712682)
44;20148;7;60;STADIO - IPPODROMI;9.122027387760685;45.4747469352301;(45.4747469352301, 9.122027387760685)
7885;20153;7;60;STADIO - IPPODROMI;9.121124683578058;45.476317841249696;(45.476317841249696, 9.121124683578058)
518;20148;8;66;QT 8;9.1304702059108;45.489869993054796;(45.489869993054796, 9.1304702059108)
5834;20148;7;60;STADIO - IPPODROMI;9.137941710126851;45.476633065612525;(45.476633065612525, 9.137941710126851)
2170;20148;8;66;QT 8;9.135575450579607;45.48483825442841;(45.48483825442841, 9.135575450579607)
268;20148;8;66;QT 8;9.13874403967916;45.48596069902709;(45.48596069902709, 9.13874403967916)
3427;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.135637935853332;45.51645993995115;(45.51645993995115, 9.135637935853332)
41605;20146;6;49;GIAMBELLINO;9.141899102313223;45.45165820319935;(45.45165820319935, 9.141899102313223)
41283;20146;6;52;BANDE NERE;9.143477312042249;45.45387091868524;(45.45387091868524, 9.143477312042249)
3444;20142;6;46;BARONA;9.150577623666381;45.43220012180453;(45.43220012180453, 9.150577623666381)
41600;20143;6;48;RONCHETTO SUL NAVIGLIO - Q.RE LODOVICO IL MORO;9.146245135385591;45.44177838789207;(45.44177838789207, 9.146245135385591)
366;20146;6;52;BANDE NERE;9.146658236178514;45.45971495589466;(45.45971495589466, 9.146658236178514)
30316;20146;6;52;BANDE NERE;9.147671057921944;45.458406686112205;(45.458406686112205, 9.147671057921944)
4185;20157;9;81;BOVISASCA;9.15246952776967;45.51448338269313;(45.51448338269313, 9.15246952776967)
5385;20142;6;46;BARONA;9.153194726089211;45.427896857110774;(45.427896857110774, 9.153194726089211)
19;20142;6;45;MONCUCCO - SAN CRISTOFORO;9.155330781894785;45.437107114876575;(45.437107114876575, 9.155330781894785)
449;20144;6;50;PORTA GENOVA;9.159178116284343;45.455442509122804;(45.455442509122804, 9.159178116284343)
3436;20144;7;51;PORTA MAGENTA;9.157611252681441;45.46201553440926;(45.46201553440926, 9.157611252681441)
138;20146;7;51;PORTA MAGENTA;9.152938102172424;45.46477672699496;(45.46477672699496, 9.152938102172424)
10689;20149;7;58;DE ANGELI - MONTE ROSA;9.154260238238525;45.46822294429539;(45.46822294429539, 9.154260238238525)
441;20145;8;59;TRE TORRI;9.156539951354665;45.473581181711644;(45.473581181711644, 9.156539951354665)
107;20156;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.155034751404404;45.49797440898109;(45.49797440898109, 9.155034751404404)
481;20156;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.15687699485783;45.49825828704013;(45.49825828704013, 9.15687699485783)
507;20157;9;81;BOVISASCA;9.156759695726986;45.51470812445118;(45.51470812445118, 9.156759695726986)
5387;20161;9;81;BOVISASCA;9.158167615964356;45.51662323172702;(45.51662323172702, 9.158167615964356)
5827;20142;5;41;GRATOSOGLIO - Q.RE MISSAGLIA - Q.RE TERRAZZE;9.16558916144177;45.41439341504125;(45.41439341504125, 9.16558916144177)
435;20154;8;69;SARPI;9.165037455585596;45.483367498254424;(45.483367498254424, 9.165037455585596)
3400;20155;8;70;GHISOLFA;9.1645486675415;45.49447493713714;(45.49447493713714, 9.1645486675415)
389;20123;1;7;MAGENTA - S. VITTORE;9.167948432720989;45.46113949525781;(45.46113949525781, 9.167948432720989)
10685;20123;1;7;MAGENTA - S. VITTORE;9.166397528824627;45.46935212437048;(45.46935212437048, 9.166397528824627)
2557;20145;1;7;MAGENTA - S. VITTORE;9.167371074075596;45.47212423905408;(45.47212423905408, 9.167371074075596)
439;20145;1;68;PAGANO;9.16956904643647;45.47563385239587;(45.47563385239587, 9.16956904643647)
